District,Candidate,Party,Votes
Murray Valley,"ENSHAW, Lachlan",ALP,10587
Murray Valley,"McCURDY, Tim",Nationals,23604
Narracan,"FLYNN, Tony",ALP,14353
Narracan,"BLACKWOOD, Gary",Liberal,23814
Narre Warren North,"DONNELLAN, Luke",ALP,18739
Narre Warren North,"FRAZER, Michelle",Liberal,16638
Narre Warren South,"ENDRES, Claus M.",Greens,3982
Narre Warren South,"GRALEY, Judith",ALP,23063
Narre Warren South,"ROWE, Gary",Liberal,18847
Nepean,"DIXON, Martin",Liberal,22288
Nepean,"LANNAN, John",ALP,12370
Niddrie,"HULLS, Rob",ALP,15929
Niddrie,"BAUCH, Joh",Liberal,12703
Niddrie,"BLACK, Leharna",Greens,2965
Northcote,"MARTINELLI, Anne",Greens,13946
Northcote,"RICHARDSON, Fiona",ALP,21476
Oakleigh,"BARKER, Ann",ALP,17210
Oakleigh,"ZOGRAPHOS, Theo",Liberal,14247
Pascoe Vale,"CAMPBELL, Christine",ALP,23738
Pascoe Vale,"TOMISICH, Claude",Liberal,11272
Polwarth,"MULDER, Terry",Liberal,24351
Polwarth,"CROOK, Brian",ALP,14127
Prahran,"NEWTON-BROWN, Clem",Liberal,18333
Prahran,"LUPTON, Tony",ALP,15443
Preston,"SCOTT, Robin",ALP,23250
Preston,"McGARVIE, Adin",Liberal,9783
Richmond,"WYNNE, Richard",ALP,20114
Richmond,"MALTZAHN, Kathleen",Greens,15652
Ripon,"HELPER, Joe",ALP,17755
Ripon,"DUNN, Vic",Liberal,15931
Rodney,"LANGFORD, Vanessa",ALP,7809
Rodney,"WELLER, Paul",Nationals,24947
Sandringham,"NYAGUY, Robbie",ALP,11584
Sandringham,"THOMPSON, Murray",Liberal,22417
Scoresby,"NIGHTINGALE, Garry",ALP,12598
Scoresby,"WELLS, Kim",Liberal,22529
Seymour,"HARDMAN, Ben",ALP,17782
Seymour,"McLEISH, Cindy",Liberal,18680
Shepparton,"POWELL, Jeanette",Nationals,25376
Shepparton,"FULLARTON, Anthony",ALP,8027
South Barwon,"KATOS, Andrew",Liberal,22327
South Barwon,"CRUTCHFIELD, Michael",ALP,16624
South Barwon,"NORTHEAST, Simon",Greens,4886
South-West Coast,"NAPTHINE, Denis",Liberal,19659
South-West Coast,"HOWARD, Jack",Greens,3416
South-West Coast,"HERBERTSON, John",ALP,9812
South-West Coast,"ARSCOTT, Tony",CA,1675
South-West Coast,"PURCELL, James",,4634
Swan Hill,"WALSH, Peter",Nationals,23343
Swan Hill,"GARRICK, Sharon",ALP,6081
Tarneit,"McLEAN, Lori",FAMILY FIRST,3169
Tarneit,"PALLAS, Tim",ALP,21083
Tarneit,"GOODFELLOW, Glenn",Liberal,13662
Tarneit,"SHEFFIELD-BROTHERTON, Bro",Greens,3895
Thomastown,"BURGE, Michael",Liberal,9356
Thomastown,"HALFPENNY, Bronwyn",ALP,22025
Warrandyte,"HOPPER, Meghan",ALP,13675
Warrandyte,"SMITH, Ryan",Liberal,24176
Williamstown,"McCONNELL, David",Liberal,12953
Williamstown,"NOONAN, Wade",ALP,20969
Yan Yean,"GANGE, Jack",Liberal,22458
Yan Yean,"GREEN, Danielle",ALP,26472
Yuroke,"BEATTIE, Liz",ALP,27841
Yuroke,"CUTLER, Philip",Liberal,14802
