District,Candidate,Party,Votes
Buninyong,Informal votes,INF,1852
Burwood,"RYAN, Gavin",AUSTRALIAN LABOR PARTY,12995
Burwood,"STUART, Beck",AUSTRALIAN GREENS,4904
Burwood,"WATT, Graham",LIBERAL,18902
Burwood,"CAMPBELL, Peter",,960
Burwood,Informal votes,INF,1357
Carrum,"VERNAY, Richard",FAMILY FIRST,1281
Carrum,"BAUER, Donna",LIBERAL,17802
Carrum,"KILKENNY, Sonya",AUSTRALIAN LABOR PARTY,16645
Carrum,"KELSALL, Henry",AUSTRALIAN GREENS,2989
Carrum,"QUINN, Margaret",RISE UP AUSTRALIA PARTY,708
Carrum,Informal votes,INF,2126
Caulfield,"MYERS, John Barry",,488
Caulfield,"BAXTER, Tim",AUSTRALIAN GREENS,5940
Caulfield,"HORVATH, Teresa",RISE UP AUSTRALIA PARTY,345
Caulfield,"BURNS, Josh",AUSTRALIAN LABOR PARTY,10849
Caulfield,"SOUTHWICK, David",LIBERAL,18860
Caulfield,Informal votes,INF,1589
Clarinda,"TALBOT-KAMOEN, James",AUSTRALIAN GREENS,4254
Clarinda,"LIM, Hong",AUSTRALIAN LABOR PARTY,20082
Clarinda,"MARINIS, James",,1035
Clarinda,"BEVINAKOPPA, Gandhi",LIBERAL,10986
Clarinda,"VASSILIOU, Melanie",RISE UP AUSTRALIA PARTY,1343
Clarinda,Informal votes,INF,2466
Cranbourne,"ELI, Jonathan Willie",RISE UP AUSTRALIA PARTY,995
Cranbourne,"PERERA, Jude",AUSTRALIAN LABOR PARTY,17365
Cranbourne,"ABLETT, Geoff",LIBERAL,16536
Cranbourne,"BLAKE, Rosemary",,824
Cranbourne,"NAYAK, Nagaraj",AUSTRALIAN GREENS,1668
Cranbourne,"KEENAN, Pamela",FAMILY FIRST,979
Cranbourne,"GRAHAM, Laith",SEX PARTY,1110
Cranbourne,"MICHAEL, Rania",AUSTRALIAN CHRISTIANS,560
Cranbourne,Informal votes,INF,2810
Croydon,"BARCLAY, Sarah",AUSTRALIAN COUNTRY ALLIANCE,869
Croydon,"BROWN, Mike",AUSTRALIAN CHRISTIANS,1033
Croydon,"FIELDING, Lesley",AUSTRALIAN LABOR PARTY,11352
Croydon,"MARTIN, Joel",,539
Croydon,"HODGETT, David",LIBERAL,19797
Croydon,"WILD, Jill",AUSTRALIAN GREENS,3273
Croydon,Informal votes,INF,1699
Dandenong,"WALKER, Noelle",FAMILY FIRST,2097
Dandenong,"KING, Carlton John",RISE UP AUSTRALIA PARTY,950
Dandenong,"GULZARI, John",AUSTRALIAN GREENS,2611
Dandenong,"PALATSIDES, Joanna",LIBERAL,9809
Dandenong,"WILLIAMS, Gabrielle",AUSTRALIAN LABOR PARTY,17891
Dandenong,"KEY, Dale Anthony",,500
Dandenong,Informal votes,INF,3064
Eildon,"LEAKE, Jeff",AUSTRALIAN COUNTRY ALLIANCE,1208
Eildon,"PRENTICE, David",FAMILY FIRST,883
Eildon,"ARGYLE, Bruce",,1172
Eildon,"SELLSTROM, Marie",AUSTRALIAN GREENS,4323
Eildon,"BRENNAN, Sally",AUSTRALIAN LABOR PARTY,10375
Eildon,"CHILD, Jim",THE NATIONALS,2253
Eildon,"JUDD, Jane M.",,723
Eildon,"McLEISH, Cindy",LIBERAL,16070
Eildon,Informal votes,INF,2042
Eltham,"BYRNE, Chris",,555
Eltham,"BRIFFA, Steven",LIBERAL,17727
Eltham,"FENN, Janna",FAMILY FIRST,490
Eltham,"JANSON, Michael",AUSTRALIAN CHRISTIANS,345
Eltham,"WARD, Vicki",AUSTRALIAN LABOR PARTY,16374
Eltham,"SHNOOKAL, Liezl",AUSTRALIAN GREENS,4600
Eltham,"EBERT, Ryan",,251
Eltham,Informal votes,INF,1808
Essendon,"LAWRENCE, Richard",,1326
Essendon,"WAITE, Ashley",AUSTRALIAN GREENS,7065
Essendon,"MENDEZ, Mario Antonio",VOICE FOR THE WEST,714
Essendon,"ACKERMAN, Fred",LIBERAL,14052
Essendon,"PEARSON, Danny",AUSTRALIAN LABOR PARTY,16026
Essendon,Informal votes,INF,1605
Euroa,"WINZER, Julie-Anne",FAMILY FIRST,1307
Euroa,"RYAN, Steph",THE NATIONALS,14494
Euroa,"SCHNEIDER, Tony",LIBERAL,10454
Euroa,"ADAMS, Lisa",AUSTRALIAN COUNTRY ALLIANCE,1238
Euroa,"MALCOLM, Clare Louise",AUSTRALIAN LABOR PARTY,11428
Euroa,"ROBERTS, Simon",AUSTRALIAN GREENS,2110
Euroa,Informal votes,INF,2016
Evelyn,"WILLIAMS, Glenn",AUSTRALIAN COUNTRY ALLIANCE,905
Evelyn,"FYFFE, Christine",LIBERAL,19258
Evelyn,"MCALEER, Anthony",,447
Evelyn,"BETTS, Sandra",AUSTRALIAN GREENS,2393
Evelyn,"HARRIS, Peter",AUSTRALIAN LABOR PARTY,11588
Evelyn,"de PYLE, Damien",AUSTRALIAN CHRISTIANS,1115
Evelyn,"MOBSBY, Lawrence Irwin",,271
Evelyn,Informal votes,INF,2182
Ferntree Gully,"RAYMOND, Steve",AUSTRALIAN GREENS,3329
Ferntree Gully,"ROYTEL, Robert",AUSTRALIAN CHRISTIANS,955
Ferntree Gully,"POSETTI, Matt",AUSTRALIAN LABOR PARTY,12081
Ferntree Gully,"WULF, Russell",AUSTRALIAN COUNTRY ALLIANCE,465
Ferntree Gully,"WAKELING, Nick",LIBERAL,19641
Ferntree Gully,Informal votes,INF,1804
Footscray,"SWIFT, Rod",AUSTRALIAN GREENS,6682
Footscray,"CUMMING, Catherine",,2985
Footscray,"VU, Kim",LIBERAL,10386
Footscray,"THOMSON, Marsha",AUSTRALIAN LABOR PARTY,17542
Footscray,"BETTS, Ken",VOICE FOR THE WEST,1272
Footscray,Informal votes,INF,2422
Forest Hill,"ROGERS, Kane",ANIMAL JUSTICE PARTY,999
Forest Hill,"TROTTER, Melissa",AUSTRALIAN COUNTRY ALLIANCE,211
Forest Hill,"ANGUS, Neil",LIBERAL,18340
Forest Hill,"RICHARDS, Pauline",AUSTRALIAN LABOR PARTY,12984
Forest Hill,"ATKINSON, Brewis",AUSTRALIAN GREENS,3289
Forest Hill,"MADDISON, Lynne",AUSTRALIAN CHRISTIANS,561
Forest Hill,"ROSS, Wendy",FAMILY FIRST,508
Forest Hill,Informal votes,INF,1646
Frankston,"ARMISTEAD, Sean",LIBERAL,12542
Frankston,"WALLACE, Anthony",AUSTRALIAN CHRISTIANS,308
Frankston,"TOSCANO, Joseph",,140
Frankston,"SWAIN, Jeanette",AUSTRALIAN GREENS,2790
Frankston,"NICHOLLS, Alan",PEOPLE POWER VICTORIA/NO SMART METERS,158
Frankston,"MILLER, Jamie",SEX PARTY,972
Frankston,"TOOTELL, Marianne",,87
Frankston,"EDBROOKE, Paul",AUSTRALIAN LABOR PARTY,12241
Frankston,"SMITH, Reade",,179
Frankston,"BREEN, Jerome",,311
Frankston,"MASON, Paul",FAMILY FIRST,415
Frankston,"SHAW, Geoff",,4514
Frankston,"VOGT, Mervyn K.",,125
Frankston,"TREGENZA, Lin",RISE UP AUSTRALIA PARTY,212
Frankston,Informal votes,INF,3410
Geelong,"PEGAN, Pedro",SHOOTERS AND FISHERS PARTY VICTORIA,1021
Geelong,"LEEN, Tony",AUSTRALIAN COUNTRY ALLIANCE,564
Geelong,"HATHWAY, Sarah",SOCIALIST ALLIANCE,468
Geelong,"MANN, Douglas James",,659
Geelong,"KONTELJ, Paula",LIBERAL,15232
Geelong,"LINDSAY, Bruce",AUSTRALIAN GREENS,4833
Geelong,"CLARK, Ruth",FAMILY FIRST,962
Geelong,"COUZENS, Christine",AUSTRALIAN LABOR PARTY,16516
Geelong,Informal votes,INF,2020
Gembrook,"HEFFERNAN, Damian",,519
Gembrook,"ROSS, Collin",AUSTRALIAN LABOR PARTY,11568
Gembrook,"BEARD, Simon",AUSTRALIAN CHRISTIANS,659
Gembrook,"DEAN, Frank",,248
Gembrook,"SCHILLING, Michael",AUSTRALIAN GREENS,3197
Gembrook,"STOOPS, Alan",AUSTRALIAN COUNTRY ALLIANCE,518
Gembrook,"VERDAN, Ferdie",RISE UP AUSTRALIA PARTY,406
Gembrook,"BATTIN, Brad",LIBERAL,20646
Gembrook,Informal votes,INF,2106
Gippsland East,"HUTCHISON, David",AUSTRALIAN COUNTRY ALLIANCE,1436
Gippsland East,"CAMPBELL-SMITH, Scott",AUSTRALIAN GREENS,3035
Gippsland East,"JACK, Jenny",RISE UP AUSTRALIA PARTY,531
Gippsland East,"MAXFIELD, Kate",AUSTRALIAN LABOR PARTY,7754
Gippsland East,"GARDNER, Peter",,763
Gippsland East,"BULL, Tim",THE NATIONALS,22984
Gippsland East,"McDONALD, Leigh",,929
Gippsland East,"McKENZIE, Peter Warren",,644
Gippsland East,Informal votes,INF,2270
Gippsland South,"WINTERTON, Patrick",RISE UP AUSTRALIA PARTY,1076
Gippsland South,"PSAILA, Lynn",AUSTRALIAN LABOR PARTY,7819
Gippsland South,"PIPER, Phil",,1093
Gippsland South,"MEESTER, Deb",AUSTRALIAN COUNTRY ALLIANCE,1853
Gippsland South,"RYAN, Peter",THE NATIONALS,20468
Gippsland South,"ONLEY, Ian",AUSTRALIAN GREENS,3436
Gippsland South,Informal votes,INF,2082
Hastings,"LESLIE, Scot",AUSTRALIAN COUNTRY ALLIANCE,940
Hastings,"MADIGAN, Paul",,343
Hastings,"FAGAN, Derek",AUSTRALIAN GREENS,3096
Hastings,"BURGESS, Neale",LIBERAL,21316
Hastings,"HOSKING, Steven",AUSTRALIAN LABOR PARTY,13109
Hastings,"ROBERTSON, Colin",RISE UP AUSTRALIA PARTY,697
Hastings,"ANDERSSON, Robert",,2133
Hastings,Informal votes,INF,2608
Hawthorn,"HARTNETT, Tim",AUSTRALIAN GREENS,8042
Hawthorn,"PESUTTO, John",LIBERAL,20551
Hawthorn,"McNALLY, John",AUSTRALIAN LABOR PARTY,9117
Hawthorn,Informal votes,INF,1470
Ivanhoe,"GREWAL, Gurmender",AUSTRALIAN CHRISTIANS,558
Ivanhoe,"KENNEDY, Paul",AUSTRALIAN GREENS,6147
Ivanhoe,"BOER, Jesse",FAMILY FIRST,474
Ivanhoe,"ZIEBELL, Carl",LIBERAL,15730
Ivanhoe,"LANGDON, Craig",,1905
Ivanhoe,"MOHAMED, Abdirizak H.",,355
Ivanhoe,"CARBINES, Anthony",AUSTRALIAN LABOR PARTY,14133
Ivanhoe,Informal votes,INF,1890
Kew,"FRANKES, Lynn",AUSTRALIAN GREENS,6433
Kew,"SMITH, Tim",LIBERAL,22552
Kew,"GAFFEY, James Matthew",AUSTRALIAN LABOR PARTY,10448
Kew,Informal votes,INF,1691
Keysborough,"PAKULA, Martin",AUSTRALIAN LABOR PARTY,19678
Keysborough,"CUNNINGHAM, Andrew",RISE UP AUSTRALIA PARTY,1093
Keysborough,"FLEMING, Adrianne",LIBERAL,11811
Keysborough,"FYFIELD, Susan",AUSTRALIAN GREENS,2126
Keysborough,"VO, Hung",,2000
Keysborough,"CARTY, Michael",,386
Keysborough,Informal votes,INF,2393
Kororoit,"GIUDICE, Margaret",,2918
Kororoit,"HILL, Philip",AUSTRALIAN GREENS,2921
Kororoit,"KESIC, Goran",LIBERAL,8690
Kororoit,"TURNER, Shashi",VOICE FOR THE WEST,1215
Kororoit,"KAIROUZ, Marlene",AUSTRALIAN LABOR PARTY,23913
Kororoit,Informal votes,INF,2843
Lara,"LACEY, Gregory",AUSTRALIAN GREENS,3413
Lara,"REED, George",AUSTRALIAN COUNTRY ALLIANCE,1148
Lara,"EREN, John",AUSTRALIAN LABOR PARTY,21457
Lara,"McMANUS, Tony",LIBERAL,11090
Lara,"FOSBERRY, Rami",FAMILY FIRST,1256
Lara,Informal votes,INF,1851
Lowan,"BELTZ, Nkandu",AUSTRALIAN GREENS,3324
Lowan,"PRICE, Steve",AUSTRALIAN COUNTRY ALLIANCE,1796
Lowan,"RAINSFORD, Katrina",,5532
Lowan,"KEALY, Emma",THE NATIONALS,21087
Lowan,"SCATES, Bob",AUSTRALIAN LABOR PARTY,7243
Lowan,Informal votes,INF,1851
Macedon,"BARKER, Neil",AUSTRALIAN GREENS,5841
Macedon,"THOMAS, Mary-Anne",AUSTRALIAN LABOR PARTY,14677
Macedon,"HARLAND, Peter",FAMILY FIRST,1061
Macedon,"PETROVICH, Donna",LIBERAL,16376
Macedon,Informal votes,INF,1445
Malvern,"O'BRIEN, Michael",LIBERAL,22642
Malvern,"BENNETT, James",AUSTRALIAN GREENS,5780
Malvern,"TARCZON, Les",AUSTRALIAN LABOR PARTY,7730
Malvern,Informal votes,INF,1515
Melbourne,"CHISHOLM, Neville",AUSTRALIAN CHRISTIANS,491
Melbourne,"SUTHERLAND, Kerry",FAMILY FIRST,306
Melbourne,"SANDELL, Ellen",AUSTRALIAN GREENS,15333
Melbourne,"KANIS, Jennifer",AUSTRALIAN LABOR PARTY,10830
Melbourne,"ELLIOTT, Kate",ANIMAL JUSTICE PARTY,802
Melbourne,"HUNTINGFORD, Ed",LIBERAL,8913
Melbourne,"UMER, Tehiya",VOICE FOR THE WEST,325
Melbourne,Informal votes,INF,1343
Melton,"DeLEON, Matt",,1392
Melton,"LANG, Daryl",LIBERAL,11783
Melton,"MANGION, Sav",AUSTRALIAN COUNTRY ALLIANCE,443
Melton,"BENNETT, Victor",,338
Melton,"NARDELLA, Don",AUSTRALIAN LABOR PARTY,19272
Melton,"CHADHUOL, Mabor",AUSTRALIAN CHRISTIANS,532
Melton,"COOPER, Marie-Anne",AUSTRALIAN GREENS,2777
Melton,"ALJOFAN, Mohamad",,114
Melton,"THOMAS, Monika",VOICE FOR THE WEST,1544
Melton,Informal votes,INF,3379
Mildura,"CARTER, Carl J.",RISE UP AUSTRALIA PARTY,1012
Mildura,"LEE, Danny",AUSTRALIAN COUNTRY ALLIANCE,3485
Mildura,"CLUTTERBUCK, Jo",,1556
Mildura,"CORY, Mark",,286
Mildura,"FENN, Judith",FAMILY FIRST,633
Mildura,"CUPPER, Ali",,7755
Mildura,"RUSSELL, Morgana",AUSTRALIAN GREENS,671
Mildura,"CRISP, Peter",THE NATIONALS,16794
Mildura,"ROBERTS, Shane",AUSTRALIAN LABOR PARTY,4244
Mildura,Informal votes,INF,2763
Mill Park,"GRAHAM, Jeremy",AUSTRALIAN GREENS,2640
Mill Park,"SIMMONS, Peter",FAMILY FIRST,2383
Mill Park,"D'AMBROSIO, Lily",AUSTRALIAN LABOR PARTY,22807
Mill Park,"VARUGHESE, George",LIBERAL,10317
Mill Park,Informal votes,INF,2306
Monbulk,"ROJAS, Ana",RISE UP AUSTRALIA PARTY,427
Monbulk,"CROOK, Jordan",,342
Monbulk,"MERLINO, James",AUSTRALIAN LABOR PARTY,14096
Monbulk,"VERSCHUUR, Mark",LIBERAL,15063
Monbulk,"MASON, Amelia",FAMILY FIRST,786
Monbulk,"CLARKE, Michael",AUSTRALIAN GREENS,5029
Monbulk,"McADAM, Jennifer",ANIMAL JUSTICE PARTY,1079
Monbulk,"JENKIN, Craig",AUSTRALIAN COUNTRY ALLIANCE,293
Monbulk,"PRENDERGAST, Ron",DEMOCRATIC LABOUR PARTY (DLP),433
Monbulk,Informal votes,INF,2044
Mordialloc,"BRICK, Damien",DEMOCRATIC LABOUR PARTY (DLP),877
Mordialloc,"RICHARDSON, Tim",AUSTRALIAN LABOR PARTY,14840
Mordialloc,"OXLEY, Georgina",,301
Mordialloc,"FIGUEROA, Rod",RISE UP AUSTRALIA PARTY,193
Mordialloc,"GOVENDER, Jeevaloshni",FAMILY FIRST,379
Mordialloc,"CHELLEW, Tristram",SEX PARTY,737
Mordialloc,"WREFORD, Lorraine",LIBERAL,16807
Mordialloc,"BRESKIN, Alexander",AUSTRALIAN GREENS,3031
Mordialloc,"POMPEI, Leon",,371
Mordialloc,"OXLEY, Victoria",,103
Mordialloc,"WEST, Rosemary",,715
Mordialloc,Informal votes,INF,2641
Mornington,"MORRIS, David",LIBERAL,23184
Mornington,"BARNES, Marion",AUSTRALIAN COUNTRY ALLIANCE,416
Mornington,"MOLDOVAN, Peter",RISE UP AUSTRALIA PARTY,453
Mornington,"McLAREN, Matthew",AUSTRALIAN GREENS,4618
Mornington,"WRIGHT, Rebecca",AUSTRALIAN LABOR PARTY,10762
Mornington,Informal votes,INF,1660
Morwell,"LUND, Tracie",,4377
Morwell,"MINTERN, Jadon",AUSTRALIAN LABOR PARTY,14282
Morwell,"BIRKETT, Stewart",AUSTRALIAN COUNTRY ALLIANCE,950
Morwell,"DORIAN, Peter",RISE UP AUSTRALIA PARTY,423
Morwell,"CAFFREY, Dan",AUSTRALIAN GREENS,1894
Morwell,"NORTHE, Russell",THE NATIONALS,17824
Morwell,"ROSE, Jacqueline",,380
Morwell,Informal votes,INF,2283
Mount Waverley,"KHANGURE, Perky Raj",AUSTRALIAN GREENS,3432
Mount Waverley,"ZHENG, Stephen Chong",AUSTRALIAN CHRISTIANS,915
Mount Waverley,"GIDLEY, Michael",LIBERAL,18357
Mount Waverley,"YANG, Jennifer",AUSTRALIAN LABOR PARTY,13184
Mount Waverley,Informal votes,INF,1422
Mulgrave,"FERGEUS, Josh",AUSTRALIAN GREENS,2525
Mulgrave,"DAVIES, Robert",LIBERAL,14622
Mulgrave,"FENN, Norman",FAMILY FIRST,969
Mulgrave,"WOOD, Maree",RISE UP AUSTRALIA PARTY,579
Mulgrave,"ANDREWS, Daniel",AUSTRALIAN LABOR PARTY,17150
Mulgrave,Informal votes,INF,1960
Murray Plains,"WINN, Bryon",AUSTRALIAN COUNTRY ALLIANCE,2978
Murray Plains,"WILLIAMS, Peter",AUSTRALIAN LABOR PARTY,8190
Murray Plains,"CHRISTOE, Ian",AUSTRALIAN GREENS,1619
Murray Plains,"WINTLE, Laurie J.",RISE UP AUSTRALIA PARTY,1037
Murray Plains,"HICKS, Nigel Anthony",,924
Murray Plains,"WALSH, Peter",THE NATIONALS,25406
Murray Plains,Informal votes,INF,2331
Narracan,"MARTEN, Kate",AUSTRALIAN LABOR PARTY,12223
Narracan,"BLACKWOOD, Gary",LIBERAL,22907
Narracan,"McKELVIE, Malcolm",AUSTRALIAN GREENS,3720
Narracan,"SNELLING, Dave",AUSTRALIAN COUNTRY ALLIANCE,1673
Narracan,"BAKER, Norman",RISE UP AUSTRALIA PARTY,973
Narracan,Informal votes,INF,1829
Narre Warren North,"STAPLEDON, Amanda",LIBERAL,14849
Narre Warren North,"MEKHAIL, Mery",AUSTRALIAN CHRISTIANS,1012
Narre Warren North,"JONES, Karen",AUSTRALIAN GREENS,2114
Narre Warren North,"WHITE, Robert George",RISE UP AUSTRALIA PARTY,902
Narre Warren North,"DONNELLAN, Luke",AUSTRALIAN LABOR PARTY,17421
Narre Warren North,"BLACKBURN, Chris",DEMOCRATIC LABOUR PARTY (DLP),527
Narre Warren North,"QURESHI, Wasim",,550
Narre Warren North,Informal votes,INF,2706
Narre Warren South,"SEREY, Susan",LIBERAL,16212
Narre Warren South,"ANDRAWIS, Narmien",AUSTRALIAN CHRISTIANS,1021
Narre Warren South,"GRALEY, Judith",AUSTRALIAN LABOR PARTY,19501
Narre Warren South,"SOFE, Anthony",RISE UP AUSTRALIA PARTY,1278
Narre Warren South,"KELEHER, Lynette",AUSTRALIAN GREENS,2465
Narre Warren South,Informal votes,INF,2414
Nepean,"SCHMIDT, Matthew",AUSTRALIAN COUNTRY ALLIANCE,655
Nepean,"DIXON, Martin",LIBERAL,20984
Nepean,"GLEIXNER, Carolyn",AUSTRALIAN LABOR PARTY,12253
Nepean,"YUE, Laura",RISE UP AUSTRALIA PARTY,460
Nepean,"STANTON, David J.",,339
Nepean,"THOMSON, Craig",AUSTRALIAN GREENS,4658
Nepean,Informal votes,INF,2056
Niddrie,"ROBERTS, Sarah",AUSTRALIAN GREENS,3045
Niddrie,"SURACE, Andrea",,1002
Niddrie,"DEWAN, Paddy",VOICE FOR THE WEST,892
Niddrie,"CARROLL, Ben",AUSTRALIAN LABOR PARTY,17342
Niddrie,"WARNER, John",AUSTRALIAN CHRISTIANS,394
Niddrie,"GAUCI MAURICI, Rebecca",LIBERAL,14101
Niddrie,"YIANNI, Appollo",,323
Niddrie,"GUNTER, Andrew",,478
Niddrie,Informal votes,INF,2572
Northcote,"McCARNEY, Jamie",THE BASICS ROCK 'N' ROLL PARTY,1043
Northcote,"RICHARDSON, Fiona",AUSTRALIAN LABOR PARTY,15928
Northcote,"FENN, Helen",FAMILY FIRST,390
Northcote,"PURCELL, Georgina",ANIMAL JUSTICE PARTY,678
Northcote,"D'ANGELO, Anthony",LIBERAL,6407
Northcote,"EDWARDS, Bryony",,324
Northcote,"McCARTHY, Trent",AUSTRALIAN GREENS,14101
Northcote,Informal votes,INF,1713
