District,Candidate,Party,Votes
Kew,"McINTOSH, Andrew",Liberal,19594
Kew,"LEWES, Jonathon",ALP,10751
Kew,Informal votes,INF,795
Knox,"WELLS, Ken",DLP,1408
Knox,"SMITH, Christopher P.",ALP,14684
Knox,"LUPTON, Hurtle",Liberal,20481
Knox,Informal votes,INF,943
Malvern,"DOYLE, Robert",Liberal,21129
Malvern,"WALLACE, Jude",ALP,10583
Malvern,Informal votes,INF,697
Melbourne,"PIKE, Bronwyn",ALP,20572
Melbourne,"McLEAN, Lana",Liberal,12122
Melbourne,"JORQUERA, Jorge",,1986
Melbourne,Informal votes,INF,1334
Melton,"McGEARY, John",Liberal,15294
Melton,"NARDELLA, Don",ALP,24237
Melton,Informal votes,INF,1862
Mildura,"MANSELL, Anne",Nationals,6015
Mildura,"DANSON, Peter",Liberal,7998
Mildura,"SAVAGE, Russell",,13551
Mildura,"ZIGOURAS, John",ALP,2572
Mildura,"JOYCE, Tom",Democrats,391
Mildura,Informal votes,INF,763
Mill Park,"DAVENPORT, Andrew",Liberal,12405
Mill Park,"D'ANGELO, Rosie",NLP,924
Mill Park,"ANDRIANOPOULOS, Alex",ALP,24307
Mill Park,Informal votes,INF,1541
Mitcham,"ROBINSON, Tony",ALP,14411
Mitcham,"PETHERBRIDGE, Tim",Hope Party,894
Mitcham,"MUNROE, Andrew",Liberal,15043
Mitcham,"AUBREY, Chris",,1529
Mitcham,Informal votes,INF,729
Monbulk,"SCURFIELD, Lorna",NLP,258
Monbulk,"VOIGT, Wolf",CDP,414
Monbulk,"McARTHUR, Steve",Liberal,15206
Monbulk,"WOOD, Leslie Margaret",ALP,12266
Monbulk,"HOLTHAM, Robyn",Greens,1928
Monbulk,"FELTHAM, Frank",DLP,443
Monbulk,Informal votes,INF,870
Mooroolbark,"ELLIOTT, Lorraine",Liberal,19509
Mooroolbark,"McCROREY, Darren",ALP,12549
Mooroolbark,Informal votes,INF,896
Mordialloc,"McLEOD, Robyn",ALP,14200
Mordialloc,"LEIGH, Geoff",Liberal,15515
Mordialloc,Informal votes,INF,955
Mornington,"NICHOLSON, Vivienne",,2816
Mornington,"CORNELIUS, Gwen",ALP,12198
Mornington,"PLUNKETT, Snez",,783
Mornington,"COOPER, Robin",Liberal,17821
Mornington,Informal votes,INF,813
Morwell,"TYLER, Peter",Liberal,11040
Morwell,"HAMILTON, Keith",ALP,17366
Morwell,"HOPPNER, Helen",,2912
Morwell,Informal votes,INF,700
Murray Valley,"JASPER, Ken",Nationals,20899
Murray Valley,"LESCHEN, Zuvele",ALP,10811
Murray Valley,Informal votes,INF,990
Narracan,"FOZARD, Michael",Democrats,1534
Narracan,"MATHIESON, Ray",,504
Narracan,"MAXFIELD, Ian",ALP,13074
Narracan,"DOWLING, Colin",Shooters Party,1292
Narracan,"ANDRIGHETTO, Florian",Liberal,11925
Narracan,"ROBINSON, Heather J.",,355
Narracan,Informal votes,INF,939
Niddrie,"KRUGER, Susannah",Liberal,13525
Niddrie,"HULLS, Rob",ALP,17761
Niddrie,Informal votes,INF,1252
Northcote,"RICHARDSON, Elizabeth",Liberal,8124
Northcote,"DUFFY, Susanna",,2480
Northcote,"DELAHUNTY, Mary",ALP,20681
Northcote,Informal votes,INF,1306
Oakleigh,"BARKER, Ann",ALP,15060
Oakleigh,"McGREGOR, Stephanie",,452
Oakleigh,"EBOLI, Loredana",,268
Oakleigh,"WALTERS, Susan",Greens,1107
Oakleigh,"McGILL, Denise",Liberal,13558
Oakleigh,"SCHLAGER, Raymond",NLP,148
Oakleigh,Informal votes,INF,1118
Pakenham,"SCOULLAR, Daniel",Greens,2571
Pakenham,"MACLELLAN, Robert",Liberal,17202
Pakenham,"DEAN, Frank",,637
Pakenham,"ANDERSON, John C.",ALP,11949
Pakenham,Informal votes,INF,802
Pascoe Vale,"AGHAJANI, Valentine",Liberal,9569
Pascoe Vale,"CAMPBELL, Christine",ALP,17725
Pascoe Vale,Informal votes,INF,1098
Polwarth,"CROOK, Brian",,4574
Polwarth,"BROWN, Sally-Anne",Greens,1161
Polwarth,"COUCH, Paul",Nationals,5116
Polwarth,"GARTLAND, Steve",ALP,7393
Polwarth,"MULDER, Terry",Liberal,12668
Polwarth,Informal votes,INF,686
Portland,"JACKSON, Lesley Ann",ALP,8016
Portland,"KEMPTON, Patrick",,7153
Portland,"NAPTHINE, Denis",Liberal,12093
Portland,Informal votes,INF,515
Prahran,"SALTER, Wendy",Greens,2282
Prahran,"BURKE, Leonie",Liberal,16789
Prahran,"O'REILLY, Joseph",ALP,13056
Prahran,"DAWSON, Margaret",NLP,164
Prahran,"MURPHY, Frances",DLP,609
Prahran,Informal votes,INF,904
Preston,"DICKINS, Michael",NLP,1052
Preston,"PADGETT, Ruth",Liberal,8769
Preston,"LEIGHTON, Michael",ALP,20087
Preston,Informal votes,INF,1339
Richmond,"JOLLY, Stephen",,4213
Richmond,"TRAN, Duc-Dung",Liberal,10716
Richmond,"WYNNE, Richard",ALP,20121
Richmond,Informal votes,INF,1348
Ripon,"HELPER, Joe",ALP,15579
Ripon,"ELDER, Stephen",Liberal,14045
Ripon,Informal votes,INF,668
Rodney,"McCULLOUGH, Mal",ALP,8565
Rodney,"MAUGHAN, Noel",Nationals,18329
Rodney,"HUTTON, Dorothy",One Nation,3257
Rodney,Informal votes,INF,692
Sandringham,"THOMPSON, Murray",Liberal,19478
Sandringham,"MUNT, Janice",ALP,11693
Sandringham,Informal votes,INF,828
Seymour,"HARDMAN, Ben",ALP,15410
Seymour,"RULE, Di",Liberal,15675
Seymour,"ROMAGNESI, Jim",Greens,1797
Seymour,Informal votes,INF,879
Shepparton,"BOYLE, Wendy",ALP,7616
Shepparton,"KILGOUR, Don",Nationals,12355
Shepparton,"HAZELMAN, Chris",,10965
Shepparton,Informal votes,INF,865
South Barwon,"PATERSON, Alister",Liberal,16892
South Barwon,"CRUTCHFIELD, Michael Paul",ALP,12468
South Barwon,"PAULL, Jeffrey",Democrats,1891
South Barwon,"LAUREN, Tierry",,598
South Barwon,"GANNON, Michael",,215
South Barwon,"CHENERY, Stephen",Greens,1233
South Barwon,Informal votes,INF,761
Springvale,"LIU-HYLAND, Barbara",,1680
Springvale,"CAMPBELL, John",Liberal,11152
Springvale,"BISSET, Robert J.",,398
Springvale,"HOLDING, Tim",ALP,18230
Springvale,Informal votes,INF,1476
Sunshine,"MORGAN, Simon",Liberal,9100
Sunshine,"LANGUILLER, Telmo",ALP,19826
Sunshine,"BAKER, Ian",,4780
Sunshine,Informal votes,INF,1987
Swan Hill,"SCHOREL, Gerrit Hendrik",,257
Swan Hill,"DITTERICH, Carl",,6192
Swan Hill,"WILLIAMS, Dallas",ALP,5511
Swan Hill,"MAHER, Bill",,1435
Swan Hill,"CROFT, Bill",One Nation,1383
Swan Hill,"STEGGALL, Barry",Nationals,12378
Swan Hill,"BONNEY, Leigh A.",,219
Swan Hill,Informal votes,INF,1066
Thomastown,"GIDLEY, Michael",Liberal,8212
Thomastown,"BATCHELOR, Peter",ALP,23305
Thomastown,Informal votes,INF,1479
Tullamarine,"BEATTIE, Liz",ALP,18346
Tullamarine,"FRASER,  Pat",Greens,996
Tullamarine,"GRENFELL, Russell",Shooters Party,719
Tullamarine,"FINN, Bernie",Liberal,15561
Tullamarine,"MULHOLLAND, John",DLP,668
Tullamarine,Informal votes,INF,1210
Wantirna,"ABRAHAM, Chrys",ALP,13301
Wantirna,"WELLS, Kim",Liberal,21579
Wantirna,Informal votes,INF,931
Warrandyte,"ORR, David",ALP,10630
Warrandyte,"HONEYWOOD, Phil",Liberal,19395
Warrandyte,"ROBERTS, Patti",NLP,288
Warrandyte,"STOCKDALE, Kate",Hope Party,1357
Warrandyte,Informal votes,INF,620
Warrnambool,"BLAIR, Gillian",Greens,740
Warrnambool,"WALSH, Greg",Nationals,5550
Warrnambool,"O'BRIEN, Robert",,435
Warrnambool,"VOGELS, John",Liberal,12739
Warrnambool,"LINDOP, Maggie",,1864
Warrnambool,"REEKIE, Roy",ALP,9993
Warrnambool,"WILSON, Barry M.",ARP,379
Warrnambool,Informal votes,INF,962
Werribee,"GILLETT, Mary J.",ALP,22652
Werribee,"MANSON, Cynthia",Greens,913
Werribee,"IMPSON, Gary",,353
Werribee,"McLAREN, David",Liberal,14120
Werribee,"BACKHOUSE, W. E. Batman",,258
Werribee,Informal votes,INF,1221
Williamstown,"DYSON, Noel",,1341
Williamstown,"EVERS-BUCKLAND, Alan",Liberal,8877
Williamstown,"BRACKS, Steve",ALP,20468
Williamstown,Informal votes,INF,1155
Wimmera,"HALLAM, Doug",,1446
Wimmera,"CROSS, Garry",Liberal,9450
Wimmera,"MACKLEY, Bob",One Nation,1630
Wimmera,"LISTON, Laurie",,792
Wimmera,"POWER, Les",ALP,7230
Wimmera,"DELAHUNTY, Hugh",Nationals,9866
Wimmera,Informal votes,INF,878
Yan Yean,"SMITH, Lynlee",,1371
Yan Yean,"RIGBY, Byron",NLP,341
Yan Yean,"TIVENDALE, Heather",Liberal,15397
Yan Yean,"HAERMEYER,  Andre",ALP,18265
Yan Yean,Informal votes,INF,1048
